contest-tmp2m-14d__tmp2m,index
27.245058637348297,375734
28.175357205126996,375735
28.175357205126996,375736
28.175357205126996,375737
28.175357205126996,375738
28.175357205126996,375739
28.175357205126996,375740
28.175357205126996,375741
28.175357205126996,375742
28.175357205126996,375743
28.175357205126996,375744
28.175357205126996,375745
28.175357205126996,375746
28.175357205126996,375747
28.175357205126996,375748
28.175357205126996,375749
28.175357205126996,375750
28.175357205126996,375751
28.175357205126996,375752
28.175357205126996,375753
28.175357205126996,375754
27.86969206420245,375755
28.175357205126996,375756
27.86969206420245,375757
27.786381565021625,375758
27.245058637348297,375759
27.040962788751717,375760
26.741726380474486,375761
26.552191962496263,375762
24.516968179480923,375763
23.8342670455273,375764
23.062805844708105,375765
23.062805844708105,375766
23.062805844708105,375767
23.062805844708105,375768
23.062805844708105,375769
23.305467356421186,375770
23.6179461298946,375771
23.6179461298946,375772
23.6179461298946,375773
23.6179461298946,375774
23.6179461298946,375775
23.6179461298946,375776
23.6179461298946,375777
23.6179461298946,375778
23.6179461298946,375779
23.6179461298946,375780
23.6179461298946,375781
23.305467356421186,375782
21.823301702350886,375783
21.64937854797604,375784
21.120021003942664,375785
21.120021003942664,375786
21.120021003942664,375787
21.055313077698994,375788
20.717517505853895,375789
20.581161566446962,375790
20.494278987237063,375791
20.17117988107916,375792
19.897970399028114,375793
19.193393555132143,375794
27.245058637348297,375795
28.175357205126996,375796
28.175357205126996,375797
28.175357205126996,375798
28.175357205126996,375799
28.175357205126996,375800
28.175357205126996,375801
28.175357205126996,375802
28.175357205126996,375803
28.175357205126996,375804
28.175357205126996,375805
28.175357205126996,375806
28.175357205126996,375807
28.175357205126996,375808
28.175357205126996,375809
28.175357205126996,375810
28.175357205126996,375811
28.175357205126996,375812
28.175357205126996,375813
28.175357205126996,375814
28.175357205126996,375815
27.86969206420245,375816
28.175357205126996,375817
27.86969206420245,375818
27.790707787784395,375819
27.613450976315374,375820
27.4775925531419,375821
26.86351484587095,375822
26.739574656229973,375823
25.60703556201864,375824
24.516968179480923,375825
24.516968179480923,375826
24.516968179480923,375827
24.516968179480923,375828
24.516968179480923,375829
24.516968179480923,375830
24.516968179480923,375831
24.516968179480923,375832
24.516968179480923,375833
24.516968179480923,375834
24.516968179480923,375835
24.516968179480923,375836
24.516968179480923,375837
24.516968179480923,375838
24.516968179480923,375839
24.516968179480923,375840
24.516968179480923,375841
24.516968179480923,375842
24.29442327184609,375843
23.870245200303682,375844
22.27621924467638,375845
21.85089715142316,375846
21.70409849212616,375847
21.182196566770504,375848
21.182196566770504,375849
21.055313077698994,375850
20.882673145205697,375851
20.627077259503128,375852
20.494278987237063,375853
20.2623605851872,375854
20.17117988107916,375855
27.245058637348297,375856
28.175357205126996,375857
28.175357205126996,375858
28.175357205126996,375859
28.175357205126996,375860
28.175357205126996,375861
28.175357205126996,375862
28.175357205126996,375863
28.175357205126996,375864
28.175357205126996,375865
28.175357205126996,375866
28.175357205126996,375867
28.175357205126996,375868
28.175357205126996,375869
28.175357205126996,375870
28.175357205126996,375871
28.175357205126996,375872
28.175357205126996,375873
28.175357205126996,375874
27.75406331670018,375875
27.75406331670018,375876
27.4775925531419,375877
27.286707788738948,375878
27.152574862874086,375879
26.741726380474486,375880
26.53524119942122,375881
25.700357968023237,375882
24.075592898306628,375883
23.782997887339203,375884
22.927180828113183,375885
22.08149199624501,375886
21.85089715142316,375887
21.85089715142316,375888
21.85089715142316,375889
21.85089715142316,375890
21.85089715142316,375891
21.85089715142316,375892
21.85089715142316,375893
21.85089715142316,375894
21.85089715142316,375895
21.85089715142316,375896
21.85089715142316,375897
21.85089715142316,375898
21.85089715142316,375899
21.85089715142316,375900
21.85089715142316,375901
21.85089715142316,375902
21.85089715142316,375903
21.585597103180387,375904
21.182196566770504,375905
20.964536761552754,375906
20.882673145205697,375907
20.717517505853895,375908
20.717517505853895,375909
20.635586421509583,375910
20.453155526085016,375911
20.348939757897934,375912
19.987332980935083,375913
19.53238221494652,375914
18.730328607958743,375915
18.664334371457027,375916
27.245058637348297,375917
28.175357205126996,375918
28.175357205126996,375919
28.175357205126996,375920
28.175357205126996,375921
28.175357205126996,375922
28.175357205126996,375923
28.175357205126996,375924
28.175357205126996,375925
28.175357205126996,375926
28.175357205126996,375927
28.175357205126996,375928
28.175357205126996,375929
28.175357205126996,375930
28.175357205126996,375931
28.175357205126996,375932
28.175357205126996,375933
28.175357205126996,375934
28.175357205126996,375935
27.75406331670018,375936
27.613450976315374,375937
27.29366443218702,375938
27.286707788738948,375939
27.124860904712495,375940
26.739574656229973,375941
