contest-tmp2m-14d__tmp2m,index
26.929186,375734
29.429209,375735
29.472446,375736
29.139084,375737
29.610256,375738
29.746828,375739
29.414305,375740
28.806858,375741
28.278486,375742
28.205488,375743
27.765202,375744
28.627542,375745
27.928587,375746
26.968538,375747
26.364033,375748
26.45114,375749
25.932173,375750
26.118217,375751
25.315304,375752
24.759146,375753
24.687504,375754
25.310532,375755
25.230602,375756
25.73563,375757
25.171225,375758
25.04234,375759
25.767294,375760
25.645342,375761
25.838133,375762
26.168854,375763
24.665903,375764
25.347424,375765
25.502672,375766
25.995409,375767
26.447418,375768
26.254946,375769
26.565676,375770
24.823025,375771
21.896832,375772
21.22963,375773
22.515432,375774
24.178967,375775
23.49435,375776
23.205618,375777
21.329393,375778
20.578024,375779
19.827707,375780
20.992586,375781
21.086428,375782
20.904242,375783
21.340498,375784
22.105143,375785
21.990145,375786
20.713064,375787
20.591955,375788
18.718845,375789
19.106722,375790
19.447441,375791
18.84876,375792
18.828152,375793
18.110218,375794
27.58689,375795
28.346943,375796
29.032316,375797
28.60119,375798
28.843128,375799
28.99174,375800
28.904419,375801
28.350225,375802
28.113245,375803
27.16989,375804
27.391539,375805
27.90219,375806
27.52899,375807
26.951181,375808
26.2721,375809
25.992126,375810
25.78654,375811
25.343195,375812
25.325869,375813
24.437065,375814
24.80323,375815
25.202658,375816
25.403952,375817
25.798338,375818
25.655441,375819
25.147058,375820
25.761747,375821
26.204407,375822
25.918907,375823
25.717422,375824
24.855255,375825
25.211977,375826
25.728409,375827
25.557158,375828
25.651411,375829
26.01438,375830
25.91293,375831
24.940622,375832
23.743242,375833
22.247221,375834
23.90024,375835
23.547037,375836
23.309341,375837
23.541828,375838
22.922815,375839
22.634876,375840
22.206726,375841
21.679222,375842
21.923584,375843
21.154839,375844
21.547913,375845
22.294,375846
22.685217,375847
20.643686,375848
20.55474,375849
18.787703,375850
19.428051,375851
19.493584,375852
18.716505,375853
18.782349,375854
17.560873,375855
28.84388,375856
29.751415,375857
29.924095,375858
29.416067,375859
29.801987,375860
30.212599,375861
29.930614,375862
30.581984,375863
29.444113,375864
29.212679,375865
28.847168,375866
28.351742,375867
28.465929,375868
27.682697,375869
25.887493,375870
26.112463,375871
26.103006,375872
25.438438,375873
25.28048,375874
24.672508,375875
24.181274,375876
24.673296,375877
25.446009,375878
25.222668,375879
24.872778,375880
24.621529,375881
24.645718,375882
25.0337,375883
25.479593,375884
25.107067,375885
22.99204,375886
25.67607,375887
25.69744,375888
25.995777,375889
26.290224,375890
26.14572,375891
25.989464,375892
25.455654,375893
21.813667,375894
21.794888,375895
21.354355,375896
21.336855,375897
21.53583,375898
22.151617,375899
22.133188,375900
21.716854,375901
21.24995,375902
20.36172,375903
20.594454,375904
